2026-06-14 15:48:47,991 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:50,705 | DEBUG | Using selector: SelectSelector
2026-06-14 15:48:51,256 | DEBUG | User wants to update a book
2026-06-14 15:48:51,291 | WARNING | User updating a book to mysql
2026-06-14 15:48:59,393 | DEBUG | Using selector: SelectSelector
2026-06-14 15:54:07,264 | DEBUG | Using selector: SelectSelector
2026-06-14 15:54:13,805 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:19,326 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:42,473 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:44,594 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:47,222 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:53,270 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:55,477 | DEBUG | Using selector: SelectSelector
2026-06-14 15:55:58,792 | DEBUG | Using selector: SelectSelector
2026-06-14 15:56:11,132 | DEBUG | Using selector: SelectSelector
2026-06-14 15:56:15,787 | DEBUG | Using selector: SelectSelector
2026-06-14 15:56:24,839 | DEBUG | User wants to update a book
2026-06-14 15:57:06,563 | DEBUG | Using selector: SelectSelector
2026-06-14 15:58:16,335 | DEBUG | Using selector: SelectSelector
2026-06-14 15:58:36,754 | DEBUG | User wants to update a book
2026-06-14 15:58:36,866 | WARNING | User updating a book to mysql
2026-06-14 15:59:05,709 | DEBUG | Using selector: SelectSelector
2026-06-14 15:59:09,035 | DEBUG | User wants to update a book
2026-06-14 15:59:09,194 | WARNING | User updating a book to mysql
2026-06-14 15:59:16,909 | DEBUG | Using selector: SelectSelector
2026-06-14 15:59:19,706 | DEBUG | Using selector: SelectSelector
2026-06-14 15:59:57,689 | DEBUG | Using selector: SelectSelector
2026-06-14 16:00:00,584 | DEBUG | Using selector: SelectSelector
2026-06-14 16:01:48,820 | DEBUG | Using selector: SelectSelector
2026-06-14 16:01:50,569 | DEBUG | Using selector: SelectSelector
2026-06-14 16:01:53,751 | DEBUG | Using selector: SelectSelector
2026-06-14 16:01:58,064 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:10,141 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:12,363 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:23,982 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:28,459 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:32,288 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:39,167 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:40,992 | DEBUG | Using selector: SelectSelector
2026-06-14 16:02:44,064 | DEBUG | Using selector: SelectSelector
2026-06-14 16:03:23,457 | DEBUG | Using selector: SelectSelector
2026-06-14 16:03:26,279 | DEBUG | Using selector: SelectSelector
2026-06-14 16:03:28,504 | DEBUG | Using selector: SelectSelector
2026-06-14 16:03:31,056 | DEBUG | User wants to update a book
2026-06-14 16:03:44,999 | DEBUG | Using selector: SelectSelector
2026-06-14 16:07:32,873 | DEBUG | Using selector: SelectSelector
2026-06-14 16:07:37,529 | DEBUG | Using selector: SelectSelector
2026-06-14 16:07:40,557 | DEBUG | Using selector: SelectSelector
2026-06-14 16:07:42,972 | DEBUG | Using selector: SelectSelector
2026-06-14 16:08:37,157 | DEBUG | User wants to update a book
2026-06-14 16:08:37,223 | WARNING | User updating a book to mysql
2026-06-14 16:09:09,765 | DEBUG | Using selector: SelectSelector
2026-06-14 16:12:47,123 | DEBUG | Using selector: SelectSelector
2026-06-14 16:12:50,072 | DEBUG | Using selector: SelectSelector
2026-06-14 16:12:56,794 | DEBUG | Using selector: SelectSelector
2026-06-14 16:12:59,340 | DEBUG | Using selector: SelectSelector
2026-06-14 16:13:04,162 | DEBUG | Using selector: SelectSelector
2026-06-14 16:13:12,339 | DEBUG | Using selector: SelectSelector
2026-06-14 16:13:13,649 | DEBUG | Using selector: SelectSelector
2026-06-14 16:13:21,461 | DEBUG | Using selector: SelectSelector
2026-06-14 16:13:34,600 | DEBUG | User wants to update a book
2026-06-14 16:13:34,680 | WARNING | User updating a book to mysql
2026-06-14 16:13:34,715 | INFO | The book was updated successfully
2026-06-14 16:17:11,652 | DEBUG | Using selector: SelectSelector
2026-06-14 16:17:13,605 | DEBUG | Using selector: SelectSelector
2026-06-14 16:20:53,836 | DEBUG | Using selector: SelectSelector
2026-06-14 16:29:54,047 | DEBUG | Using selector: SelectSelector
2026-06-14 16:31:20,034 | DEBUG | Using selector: SelectSelector
2026-06-14 16:33:42,055 | DEBUG | Using selector: SelectSelector
2026-06-14 16:37:50,922 | DEBUG | Using selector: SelectSelector
2026-06-14 16:38:29,220 | DEBUG | Using selector: SelectSelector
2026-06-14 16:39:42,810 | DEBUG | Using selector: SelectSelector
2026-06-14 16:39:55,115 | DEBUG | Using selector: SelectSelector
2026-06-14 16:39:56,520 | DEBUG | Using selector: SelectSelector
2026-06-14 16:39:57,961 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:08,769 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:13,861 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:28,165 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:29,505 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:31,273 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:35,054 | DEBUG | Using selector: SelectSelector
2026-06-14 16:40:36,346 | DEBUG | Using selector: SelectSelector
2026-06-14 16:41:03,072 | DEBUG | Using selector: SelectSelector
